location_id,month,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,surface_pressure,cloud_cover,shortwave_radiation,hours,country,latitude,longitude,elevation_m,elevation_km
bt_thimphu,4,11.977222222222222,6.666666666666667,0.9397361111111111,83.78611111111111,773.2527777777777,74.49861111111112,196.3125,720,BT,27.4728,89.6393,2316.0,2.316
bt_thimphu,5,13.946505376344087,7.938709677419354,0.914529569892473,85.27688172043011,774.5717741935484,71.77956989247312,217.7284946236559,744,BT,27.4728,89.6393,2316.0,2.316
bt_thimphu,6,17.28875,11.593333333333334,0.86325,86.70694444444445,774.8716666666667,77.50138888888888,190.42222222222222,720,BT,27.4728,89.6393,2316.0,2.316
bt_thimphu,7,18.446908602150536,9.441935483870967,0.7966397849462367,87.47311827956989,775.1646505376344,90.66263440860214,173.90456989247312,744,BT,27.4728,89.6393,2316.0,2.316
bt_thimphu,8,18.330913978494625,7.661290322580645,0.7994354838709677,87.57930107526882,776.0701612903225,90.86424731182795,170.2701612903226,744,BT,27.4728,89.6393,2316.0,2.316
id_berastagi,1,18.38965053763441,6.425806451612902,1.1324596774193547,87.99193548387096,862.7866935483871,87.0013440860215,208.2016129032258,744,ID,3.1947,98.5089,1401.0,1.401
id_berastagi,2,18.551934523809525,6.121428571428571,1.1494791666666668,88.5,861.8662202380953,80.81696428571429,204.20684523809524,672,ID,3.1947,98.5089,1401.0,1.401
id_berastagi,3,19.01317204301075,5.316129032258065,1.1791397849462366,86.96505376344086,861.7798387096774,84.36693548387096,225.66532258064515,744,ID,3.1947,98.5089,1401.0,1.401
id_berastagi,4,19.280833333333334,9.3,1.1167222222222222,90.26388888888889,861.5870833333332,89.76666666666667,202.8347222222222,720,ID,3.1947,98.5089,1401.0,1.401
id_berastagi,5,19.85322580645161,8.899999999999999,1.0310483870967742,88.98655913978494,861.8591397849461,88.31317204301075,205.7513440860215,744,ID,3.1947,98.5089,1401.0,1.401
id_berastagi,6,19.31277777777778,11.47,1.0577222222222222,90.725,862.7840277777777,93.59861111111111,185.5375,720,ID,3.1947,98.5089,1401.0,1.401
id_berastagi,7,19.385080645161292,8.01290322580645,1.0278091397849463,88.53360215053763,862.4076612903226,83.70564516129032,207.04435483870967,744,ID,3.1947,98.5089,1401.0,1.401
id_berastagi,8,19.579032258064515,5.529032258064516,1.191989247311828,86.74462365591398,862.8926075268816,85.83064516129032,225.81451612903226,744,ID,3.1947,98.5089,1401.0,1.401
id_medan,1,24.961290322580645,5.503225806451613,1.5964650537634408,86.61021505376344,1008.8600806451614,84.25940860215054,212.79569892473117,744,ID,3.5952,98.6722,26.0,0.026
id_medan,2,25.638839285714283,4.942857142857143,1.390907738095238,85.80357142857143,1007.5230654761905,75.56547619047619,219.11309523809524,672,ID,3.5952,98.6722,26.0,0.026
id_medan,3,26.089919354838713,3.8,1.444193548387097,84.99596774193549,1007.0987903225806,79.10752688172043,238.63440860215053,744,ID,3.5952,98.6722,26.0,0.026
id_medan,4,26.348194444444445,6.196666666666667,1.208236111111111,87.45694444444445,1006.6229166666667,84.49861111111112,220.57222222222222,720,ID,3.5952,98.6722,26.0,0.026
id_medan,5,26.78266129032258,6.887096774193549,1.1043548387096773,87.6774193548387,1006.6504032258065,87.35887096774194,218.73521505376345,744,ID,3.5952,98.6722,26.0,0.026
id_medan,6,26.23972222222222,9.433333333333334,1.1719583333333332,89.06944444444444,1008.0659722222222,91.6138888888889,199.74027777777778,720,ID,3.5952,98.6722,26.0,0.026
id_medan,7,26.40739247311828,5.032258064516129,1.2168951612903225,86.92876344086021,1007.6013440860215,81.47043010752688,217.38978494623655,744,ID,3.5952,98.6722,26.0,0.026
id_medan,8,26.67782258064516,5.5677419354838715,1.179502688172043,86.16397849462365,1008.0141129032259,85.04569892473118,238.002688172043,744,ID,3.5952,98.6722,26.0,0.026
in_anamudi,1,10.644623655913978,0.7419354838709677,1.6763172043010754,73.07930107526882,746.5684139784946,46.64247311827957,221.78494623655914,744,IN,10.169,77.0606,2638.0,2.638
in_anamudi,2,11.640476190476189,2.825,1.315282738095238,70.29613095238095,746.31875,54.55059523809524,241.45684523809524,672,IN,10.169,77.0606,2638.0,2.638
in_anamudi,3,13.08521505376344,1.5193548387096776,1.069986559139785,64.64112903225806,746.6752688172044,36.43413978494624,270.1209677419355,744,IN,10.169,77.0606,2638.0,2.638
in_anamudi,4,14.625555555555556,5.026666666666667,0.982625,71.81527777777778,747.3256944444445,63.88055555555555,265.01944444444445,720,IN,10.169,77.0606,2638.0,2.638
in_anamudi,5,13.630510752688172,10.9,1.3436827956989248,87.8736559139785,746.0908602150537,94.53763440860214,190.9018817204301,744,IN,10.169,77.0606,2638.0,2.638
in_anamudi,6,12.535694444444445,11.0,1.9111111111111112,91.43611111111112,746.3748611111112,96.63888888888889,160.87083333333334,720,IN,10.169,77.0606,2638.0,2.638
in_anamudi,7,12.430510752688171,11.770967741935483,2.173736559139785,89.40053763440861,746.2112903225806,96.59811827956989,191.46370967741936,744,IN,10.169,77.0606,2638.0,2.638
in_anamudi,8,11.90739247311828,20.48064516129032,1.9197177419354838,92.18951612903226,746.5059139784946,96.30376344086021,168.19354838709677,744,IN,10.169,77.0606,2638.0,2.638
in_bengaluru,1,19.6880376344086,0.39354838709677414,2.9276209677419356,65.3508064516129,914.7370967741936,37.22043010752688,216.1290322580645,744,IN,12.9716,77.5946,910.0,0.91
in_bengaluru,2,21.96964285714286,0.010714285714285714,2.7632291666666666,52.08779761904762,913.5550595238095,26.163690476190474,265.5892857142857,672,IN,12.9716,77.5946,910.0,0.91
in_bengaluru,3,24.94771505376344,0.3290322580645161,2.2740860215053766,49.708333333333336,912.615188172043,17.002688172043012,283.8252688172043,744,IN,12.9716,77.5946,910.0,0.91
in_bengaluru,4,27.85986111111111,0.3733333333333333,2.1843333333333335,45.09722222222222,911.9190277777777,28.575,293.65555555555557,720,IN,12.9716,77.5946,910.0,0.91
in_bengaluru,5,26.34018817204301,2.3838709677419354,2.708064516129032,65.48252688172043,910.6244623655914,66.95833333333333,254.75672043010752,744,IN,12.9716,77.5946,910.0,0.91
in_bengaluru,6,23.516388888888887,3.753333333333333,3.704847222222222,79.0,910.8311111111111,85.47777777777777,203.70833333333334,720,IN,12.9716,77.5946,910.0,0.91
in_bengaluru,7,23.27271505376344,2.2290322580645165,4.944502688172043,76.24193548387096,910.2364247311829,93.26612903225806,192.1720430107527,744,IN,12.9716,77.5946,910.0,0.91
in_bengaluru,8,23.06048387096774,2.870967741935484,4.3503091397849465,77.58467741935483,911.2987903225807,91.03629032258064,183.88306451612902,744,IN,12.9716,77.5946,910.0,0.91
in_chennai,1,23.887096774193548,2.574193548387097,3.962352150537634,75.6760752688172,1013.6037634408601,51.653225806451616,177.68010752688173,744,IN,13.0827,80.2707,12.0,0.012
in_chennai,2,24.92723214285714,0.03214285714285714,3.3229464285714285,73.20386904761905,1011.738988095238,38.825892857142854,244.73214285714286,672,IN,13.0827,80.2707,12.0,0.012
in_chennai,3,27.184543010752687,0.14516129032258063,3.105954301075269,74.6008064516129,1009.396370967742,18.091397849462364,273.93279569892474,744,IN,13.0827,80.2707,12.0,0.012
in_chennai,4,30.049444444444443,0.03666666666666667,4.41625,72.80416666666666,1007.06,37.12638888888889,285.3152777777778,720,IN,13.0827,80.2707,12.0,0.012
in_chennai,5,31.163306451612904,0.8774193548387097,3.8319489247311824,68.76209677419355,1004.4548387096775,53.67741935483871,255.24462365591398,744,IN,13.0827,80.2707,12.0,0.012
in_chennai,6,31.51138888888889,1.6600000000000001,4.162819444444445,62.919444444444444,1004.5308333333332,75.5875,246.075,720,IN,13.0827,80.2707,12.0,0.012
in_chennai,7,31.143817204301076,1.0419354838709678,4.269879032258064,61.126344086021504,1004.0048387096774,90.77553763440861,213.7768817204301,744,IN,13.0827,80.2707,12.0,0.012
in_chennai,8,30.486962365591395,1.8741935483870968,3.8184543010752687,66.43951612903226,1005.2431451612904,85.02956989247312,231.6008064516129,744,IN,13.0827,80.2707,12.0,0.012
in_coimbatore,1,22.576478494623657,0.6419354838709678,2.290994623655914,64.39381720430107,965.8264784946236,43.26747311827957,221.8991935483871,744,IN,11.0168,76.9558,431.0,0.431
in_coimbatore,2,24.554315476190474,0.39642857142857146,2.139776785714286,58.40625,964.2394345238096,39.279761904761905,254.25892857142858,672,IN,11.0168,76.9558,431.0,0.431
in_coimbatore,3,27.325537634408605,0.12903225806451613,1.7260483870967742,53.060483870967744,962.8184139784946,17.77956989247312,282.02016129032256,744,IN,11.0168,76.9558,431.0,0.431
in_coimbatore,4,29.249166666666667,0.42666666666666664,2.117763888888889,56.34027777777778,961.6276388888889,37.47638888888889,282.12083333333334,720,IN,11.0168,76.9558,431.0,0.431
in_coimbatore,5,27.033870967741937,2.1548387096774193,3.2615994623655915,73.34005376344086,960.4778225806451,76.54838709677419,230.2983870967742,744,IN,11.0168,76.9558,431.0,0.431
in_coimbatore,6,24.99833333333333,3.23,4.128430555555555,80.63888888888889,961.4181944444445,88.17777777777778,191.73472222222222,720,IN,11.0168,76.9558,431.0,0.431
in_coimbatore,7,25.040188172043013,1.2774193548387098,4.580537634408603,78.09274193548387,960.9932795698925,91.79301075268818,206.31451612903226,744,IN,11.0168,76.9558,431.0,0.431
in_coimbatore,8,24.651478494623657,2.3419354838709676,4.189099462365592,79.47446236559139,961.9774193548386,85.51344086021506,201.45564516129033,744,IN,11.0168,76.9558,431.0,0.431
in_darjeeling,1,6.596102150537634,1.561290322580645,0.9415456989247312,73.26612903225806,792.590188172043,38.38709677419355,145.81048387096774,744,IN,27.041,88.2663,2100.0,2.1
in_darjeeling,2,8.60892857142857,3.564285714285714,0.9186904761904762,69.05208333333333,792.702380952381,48.532738095238095,164.04910714285714,672,IN,27.041,88.2663,2100.0,2.1
in_darjeeling,3,10.635215053763442,14.05483870967742,0.9408198924731184,81.56182795698925,792.2939516129031,70.25537634408602,159.93951612903226,744,IN,27.041,88.2663,2100.0,2.1
in_darjeeling,4,12.799027777777777,14.3,0.9818888888888889,84.36666666666666,791.9238888888888,70.94027777777778,188.49166666666667,720,IN,27.041,88.2663,2100.0,2.1
in_darjeeling,5,14.661290322580646,18.125806451612902,0.8614112903225807,86.23252688172043,792.6716397849461,79.15725806451613,198.2741935483871,744,IN,27.041,88.2663,2100.0,2.1
in_darjeeling,6,17.14375,30.71333333333333,0.8756527777777778,91.56805555555556,792.1698611111112,87.79166666666667,189.4611111111111,720,IN,27.041,88.2663,2100.0,2.1
in_darjeeling,7,17.537768817204302,18.01290322580645,0.7431720430107527,90.84677419354838,791.5204301075269,92.18145161290323,153.3266129032258,744,IN,27.041,88.2663,2100.0,2.1
in_darjeeling,8,17.77258064516129,17.912903225806453,0.739233870967742,90.11424731182795,792.684811827957,90.93682795698925,161.21102150537635,744,IN,27.041,88.2663,2100.0,2.1
in_doddabetta,1,11.163844086021506,0.732258064516129,1.5573655913978495,75.04301075268818,751.1404569892474,44.51075268817204,224.1733870967742,744,IN,11.4016,76.7358,2592.0,2.592
in_doddabetta,2,12.309077380952383,0.48571428571428577,1.4285565476190476,67.91517857142857,750.7264880952381,39.663690476190474,259.21875,672,IN,11.4016,76.7358,2592.0,2.592
in_doddabetta,3,13.665994623655914,0.4935483870967742,1.5613844086021507,60.10349462365591,750.690188172043,19.317204301075268,284.241935483871,744,IN,11.4016,76.7358,2592.0,2.592
in_doddabetta,4,15.7875,0.96,1.568125,60.65555555555556,751.302361111111,37.87222222222222,286.9291666666667,720,IN,11.4016,76.7358,2592.0,2.592
