location_id,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,pressure_msl,name,country_code,region,latitude,longitude,elevation_m,country,timezone,period_rainfall_mm
la_phonsavan,22.138305322128854,7.151260504201681,1.6066421568627451,87.10749299719888,1008.8670518207283,Phonsavan,LA,Southeast Asia,19.45,103.2167,1125.0,LA,UTC,851.0
la_vientiane,27.58529411764706,9.286554621848738,1.7876015406162464,82.17892156862744,1006.4290616246499,Vientiane,LA,Southeast Asia,17.9757,102.6331,179.0,LA,UTC,1105.1
lk_ambewela,18.25045518207283,5.410924369747899,2.870857843137255,84.45553221288516,1013.4920168067227,Ambewela,LK,South Asia,6.8992,80.8028,1885.0,LK,UTC,643.9
lk_anuradhapura,27.82212885154062,2.272268907563025,5.4196148459383755,76.6029411764706,1009.1801820728291,Anuradhapura,LK,South Asia,8.3114,80.4037,90.0,LK,UTC,270.4
lk_badulla,26.020203081232495,2.611764705882353,2.043970588235294,68.47969187675069,1010.7112044817927,Badulla,LK,South Asia,6.9934,81.055,661.0,LK,UTC,310.8
lk_bandarawela,22.032633053221286,2.564705882352941,3.055693277310924,72.19362745098039,1010.6037464985995,Bandarawela,LK,South Asia,6.8259,80.9982,1248.0,LK,UTC,305.2
lk_batticaloa,30.440756302521006,1.550420168067227,3.05484243697479,62.44747899159664,1008.2158963585434,Batticaloa,LK,South Asia,7.7102,81.6924,10.0,LK,UTC,184.5
lk_colombo,27.09296218487395,7.43109243697479,3.036127450980392,85.20623249299719,1010.3620098039215,Colombo,LK,South Asia,6.9271,79.8612,9.0,LK,UTC,884.3000000000001
lk_diyatalawa,22.11768207282913,2.564705882352941,3.055693277310924,76.51750700280112,1010.6037464985995,Diyatalawa,LK,South Asia,6.807,80.9595,1283.0,LK,UTC,305.2
lk_ella,24.468382352941177,2.564705882352941,3.055693277310924,72.42857142857143,1010.6037464985995,Ella,LK,South Asia,6.8667,81.0466,907.0,LK,UTC,305.2
lk_galle,27.12104341736695,7.243697478991597,4.0859628851540615,84.41351540616247,1010.6846288515407,Galle,LK,South Asia,6.0535,80.221,3.0,LK,UTC,862.0
lk_gampola,24.296533613445376,3.9361344537815124,2.8737114845938376,85.41701680672269,1011.5092436974791,Gampola,LK,South Asia,7.1643,80.5696,496.0,LK,UTC,468.4
lk_hambantota,28.32216386554622,1.2865546218487394,5.5498634453781515,75.40196078431373,1009.4773809523809,Hambantota,LK,South Asia,6.1429,81.1212,15.0,LK,UTC,153.1
lk_haputale,21.21768207282913,2.564705882352941,3.055693277310924,76.37675070028011,1010.6037464985995,Haputale,LK,South Asia,6.7681,80.959,1427.0,LK,UTC,305.2
lk_hatton,20.441981792717087,8.339495798319328,1.654124649859944,90.8389355742297,1012.3386554621849,Hatton,LK,South Asia,6.8916,80.5955,1303.0,LK,UTC,992.4
lk_horton_plains,16.65045518207283,5.457983193277311,3.2941631652661068,84.29341736694677,1012.7961834733894,Horton Plains,LK,South Asia,6.8021,80.807,2130.0,LK,UTC,649.5
lk_jaffna,28.897233893557424,1.657142857142857,7.917892156862745,78.34978991596638,1007.7402661064425,Jaffna,LK,South Asia,9.6615,80.0255,9.0,LK,UTC,197.2
lk_kandy,23.945658263305322,2.580672268907563,3.1045868347338934,83.35119047619047,1011.7856092436975,Kandy,LK,South Asia,7.2906,80.6337,499.0,LK,UTC,307.1
lk_kegalle,25.11799719887955,6.15798319327731,3.180591736694678,84.47303921568627,1010.5527661064425,Kegalle,LK,South Asia,7.2513,80.3464,205.0,LK,UTC,732.8
lk_kurunegala,26.112464985994396,4.532773109243697,4.013942577030813,82.50910364145659,1010.2257352941177,Kurunegala,LK,South Asia,7.4863,80.3647,124.0,LK,UTC,539.4
lk_mannar,28.434243697478994,1.53109243697479,7.78609593837535,78.30637254901961,1008.3992296918767,Mannar,LK,South Asia,8.981,79.9044,6.0,LK,UTC,182.20000000000002
lk_matale,26.172724089635857,3.115126050420168,4.128375350140056,79.42892156862744,1010.5953781512605,Matale,LK,South Asia,7.4675,80.6234,356.0,LK,UTC,370.7
lk_matara,27.11421568627451,5.200840336134454,5.294579831932773,84.5392156862745,1010.3992296918767,Matara,LK,South Asia,5.9549,80.555,6.0,LK,UTC,618.9
lk_nawalapitiya,23.775350140056023,8.339495798319328,1.654124649859944,88.1029411764706,1012.3386554621849,Nawalapitiya,LK,South Asia,7.0505,80.53,577.0,LK,UTC,992.4
lk_nuwara_eliya,18.25045518207283,5.410924369747899,2.870857843137255,84.45238095238096,1013.4920168067227,Nuwara Eliya,LK,South Asia,6.9497,80.7891,1888.0,LK,UTC,643.9
lk_pidurutalagala,14.796218487394958,5.410924369747899,2.870857843137255,81.91666666666667,1013.4920168067227,Pidurutalagala,LK,South Asia,7.0008,80.7733,2500.0,LK,UTC,643.9
lk_polonnaruwa,29.183963585434174,1.2361344537815127,5.439187675070028,65.33998599439775,1008.5214985994398,Polonnaruwa,LK,South Asia,7.9403,81.0188,49.0,LK,UTC,147.1
lk_puttalam,27.742366946778713,3.2756302521008402,5.109079131652661,81.8249299719888,1009.4746848739496,Puttalam,LK,South Asia,8.0362,79.8283,4.0,LK,UTC,389.8
lk_ratnapura,25.57871148459384,8.861344537815127,1.883420868347339,90.61414565826331,1011.9764705882353,Ratnapura,LK,South Asia,6.6828,80.3992,34.0,LK,UTC,1054.5
lk_sri_pada,15.36344537815126,8.861344537815127,1.883420868347339,89.03571428571429,1011.9764705882353,Sri Pada,LK,South Asia,6.8096,80.4994,2163.0,LK,UTC,1054.5
lk_trincomalee,29.407212885154063,1.4638655462184875,6.211635154061624,68.67857142857143,1008.098494397759,Trincomalee,LK,South Asia,8.5874,81.2152,9.0,LK,UTC,174.20000000000002
lk_welimada,23.418942577030812,2.611764705882353,2.043970588235294,72.26155462184875,1010.7112044817927,Welimada,LK,South Asia,6.902,80.9223,1064.0,LK,UTC,310.8
mm_hakha,19.005882352941175,11.535294117647059,0.9990266106442578,89.74614845938375,1008.618662464986,Hakha,MM,Southeast Asia,22.6445,93.6108,1768.0,MM,UTC,1372.7
mm_kalaw,21.11918767507003,11.103361344537815,1.9068697478991596,89.7125350140056,1008.9418067226891,Kalaw,MM,Southeast Asia,20.6333,96.5667,1309.0,MM,UTC,1321.3
mm_mandalay,27.815336134453784,5.008403361344538,3.5906127450980394,79.41141456582633,1005.1718487394958,Mandalay,MM,Southeast Asia,21.9588,96.0891,76.0,MM,UTC,596.0
mm_taunggyi,20.2828431372549,5.942016806722689,1.8480777310924368,84.85084033613445,1009.0671918767507,Taunggyi,MM,Southeast Asia,20.7888,97.0337,1390.0,MM,UTC,707.1
mm_yangon,26.956022408963587,15.125210084033615,2.485112044817927,88.66386554621849,1007.4599089635855,Yangon,MM,Southeast Asia,16.8409,96.1735,7.0,MM,UTC,1799.9
my_cameron_highlands,20.265161064425772,9.500840336134454,0.8845903361344538,86.98704481792717,1013.0808823529412,Cameron Highlands,MY,Southeast Asia,4.47,101.376,1436.0,MY,UTC,1130.6
my_genting,16.834768907563024,5.531092436974791,1.1267577030812326,85.27626050420169,1011.5980742296919,Genting Highlands,MY,Southeast Asia,3.4239,101.7932,1745.0,MY,UTC,658.2
my_george_town,28.260294117647057,4.938655462184874,1.3393032212885154,80.80252100840336,1010.4210784313726,George Town,MY,Southeast Asia,5.4141,100.3288,6.0,MY,UTC,587.7
np_bharatpur,27.540721288515407,11.65294117647059,0.8752906162464986,83.03991596638656,1003.6807422969188,Bharatpur,NP,South Asia,27.6833,84.4333,213.0,NP,UTC,1386.7
np_biratnagar,28.033648459383752,8.442857142857143,2.7447268907563025,81.74929971988794,1002.4105392156863,Biratnagar,NP,South Asia,26.4525,87.2718,71.0,NP,UTC,1004.7
np_dhulikhel,21.48263305322129,13.687394957983193,0.937531512605042,87.31862745098039,1006.0655812324931,Dhulikhel,NP,South Asia,27.6221,85.5421,1490.0,NP,UTC,1628.8
np_dingboche,7.660889355742297,9.763865546218488,0.9670518207282913,89.18452380952381,1015.5846988795518,Dingboche,NP,South Asia,27.892,86.8314,4321.0,NP,UTC,1161.9
np_janakpur,28.991596638655462,6.3655462184873945,2.494814425770308,76.59348739495799,1002.2391106442577,Janakpur,NP,South Asia,26.7271,85.9407,74.0,NP,UTC,757.5
np_jomsom,15.181862745098039,15.389915966386555,0.9508963585434174,89.92366946778711,1011.146568627451,Jomsom,NP,South Asia,28.7806,83.7278,2751.0,NP,UTC,1831.4
np_kathmandu,22.29156162464986,14.412605042016805,0.9074264705882353,88.03501400560224,1006.8686274509804,Kathmandu,NP,South Asia,27.7172,85.324,1301.0,NP,UTC,1715.1
np_lukla,13.939110644257703,17.93781512605042,1.0087394957983193,89.10609243697479,1010.5259803921568,Lukla,NP,South Asia,27.6869,86.7297,2817.0,NP,UTC,2134.6
np_namche,11.346638655462185,9.763865546218488,0.9670518207282913,88.4639355742297,1015.5846988795518,Namche Bazaar,NP,South Asia,27.8053,86.714,3556.0,NP,UTC,1161.9
np_pokhara,23.5859593837535,26.11848739495798,0.9469572829131653,85.0171568627451,1007.460924369748,Pokhara,NP,South Asia,28.2096,83.9856,850.0,NP,UTC,3108.1
